field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
목포상동호반리젠시빌,1,AC완속,"전라남도 목포시 영산로535번길 6 (상동, 호반리젠시빌아파트) 101동~107동",정보없음,정,전라남도 목포시 영산로535번길 6 (상동),126.4183638795034,34.81389443726321
목포시 골드디움3차,2,AC완속,전라남도 목포시 남악1로52번길 82306동 1-2라인 입구(1272 골드디움3차아파트 306동 1-2라인 입구),24시간 이용가능,유,전라남도 목포시 남악1로52번길 83 (옥암동),126.45233262633575,34.812171823619
코아루천년가 아파트,1,DC차데모+AC3상+DC콤보,전라남도 목포시 옥암동 남악1로16번길 43-14,24시간,정,전라남도 목포시 남악1로16번길 43-14 (옥암동),126.45237894739371,34.80764829583275
목포시 맨하탄모텔,1,AC완속,전라남도 목포시 비파로124번길 5주차장(853-5 맨하탄모텔),24시간 이용가능,정,전라남도 목포시 비파로124번길 5 (상동),126.4232149552093,34.80927559319839
목포시 부영애시앙2차,1,AC완속,전라남도 목포시 당가두로13번길 9P2 입구(1144 부영애시앙 P2 입구),24시간 이용가능,정,전라남도 목포시 당가두로13번길 9 (옥암동),126.43538885305807,34.80933672954289
세븐무인텔,2,AC완속,전라남도 목포시 비파로116번길 16-1주차장,24시간 이용가능,정,전라남도 목포시 비파로116번길 16-1 (상동),126.42500788917478,34.80872246326931
목포시 썸무인호텔,1,AC완속,전라남도 목포시 허사로 13주차장(달동 1337-118),24시간 이용가능,정,전라남도 목포시 허사로 13 (달동),126.36200207153351,34.75350473481162
한국농어촌공사 영산강사업단,1,DC콤보,전라남도 목포시 영산로 463(상동 509),09:00~18:00,정,전라남도 목포시 영산로 463 (상동),126.41501522848978,34.80862295007461
목포상동호반리젠시빌,5,AC완속,"전라남도 목포시 영산로535번길 6 (상동, 호반리젠시빌아파트) 101동~107동",정보없음,정,전라남도 목포시 영산로535번길 6 (상동),126.4183638795034,34.81389443726321
목포시 골드디움6차,2,AC완속,전라남도 목포시 용해지구로88번길 8602동 A15(1051 골드디움6차아파트 602동 A15),24시간 이용가능,유,전라남도 목포시 용해지구로88번길 24 (용해동),126.39397783570472,34.8185868313994
목포시 달성길36,1,AC완속,전라남도 목포시 달성길 36주차장(죽교동 289-34),24시간 이용가능,정,전라남도 목포시 달성길 36 (죽교동),126.37751559727221,34.79170930670595
근화블루빌아파트,1,AC완속,"전라남도 목포시 텃골로13번길 32 (석현동, 근화블루빌아파트) 상가동(816-12 (근화블루빌아파트))",정보없음,정,전라남도 목포시 텃골로13번길 32 (석현동),126.41976681016307,34.82007823937096
목포시 신안비치팔레스아파트,1,AC완속,"전라남도 목포시 청호로 210지하1층 103동, 106동, 109동, 113동",24시간 이용가능,정,전라남도 목포시 청호로 210 (산정동),126.37121293425284,34.808797975279035
목포시 우미파렌하이트아파트,5,AC완속,전라남도 목포시 남악2로22번길 15주차장입구 C09(1315 우미파렌하이트 주차장입구 C09),24시간 이용가능,정,전라남도 목포시 남악2로22번길 15 (옥암동),126.45469102775654,34.80831832004301
